,block,site,year,plot,experiment,treatment,date,format,gcc_mean,doy,dom,month,nitrogen,deluge.date.1,deluge.date.2
693,c,sgs,2021,19,change,pp1,8/30/2021,JPG,0.340926114,242,30,8,10,8/4/2021,8/5/2021
696,c,sgs,2021,21,change,pp1,7/28/2021,JPG,0.340207644,209,28,7,0,8/4/2021,8/5/2021
697,c,sgs,2021,20,change,pp1,8/4/2021,JPG,0.34207059,216,4,8,30,8/4/2021,8/5/2021
699,c,sgs,2021,20,change,pp1,7/28/2021,JPG,0.342606093,209,28,7,30,8/4/2021,8/5/2021
703,c,sgs,2021,23,change,pp1,8/30/2021,JPG,0.335833955,242,30,8,7.5,8/4/2021,8/5/2021
704,c,sgs,2021,23,change,pp1,8/4/2021,JPG,0.35629806,216,4,8,7.5,8/4/2021,8/5/2021
709,c,sgs,2021,20,change,pp1,7/30/2021,JPG,0.343128823,211,30,7,30,8/4/2021,8/5/2021
710,c,sgs,2021,18,change,pp1,8/30/2021,JPG,0.339661616,242,30,8,20,8/4/2021,8/5/2021
711,c,sgs,2021,20,change,pp1,8/17/2021,JPG,0.345391151,229,17,8,30,8/4/2021,8/5/2021
712,c,sgs,2021,20,change,pp1,8/30/2021,JPG,0.35202435,242,30,8,30,8/4/2021,8/5/2021
715,c,sgs,2021,22,change,pp1,7/28/2021,JPG,0.341176643,209,28,7,2.5,8/4/2021,8/5/2021
716,c,sgs,2021,23,change,pp1,7/30/2021,JPG,0.368326523,211,30,7,7.5,8/4/2021,8/5/2021
718,c,sgs,2021,18,change,pp1,8/17/2021,JPG,0.339121669,229,17,8,20,8/4/2021,8/5/2021
723,c,sgs,2021,22,change,pp1,7/30/2021,JPG,0.341491743,211,30,7,2.5,8/4/2021,8/5/2021
726,c,sgs,2021,23,change,pp1,7/28/2021,JPG,0.37910013,209,28,7,7.5,8/4/2021,8/5/2021
727,c,sgs,2021,22,change,pp1,8/30/2021,JPG,0.338635021,242,30,8,2.5,8/4/2021,8/5/2021
728,c,sgs,2021,21,change,pp1,8/17/2021,JPG,0.338715579,229,17,8,0,8/4/2021,8/5/2021
731,c,sgs,2021,18,change,pp1,7/30/2021,JPG,0.339518076,211,30,7,20,8/4/2021,8/5/2021
732,c,sgs,2021,21,change,pp1,8/30/2021,JPG,0.337437742,242,30,8,0,8/4/2021,8/5/2021
737,c,sgs,2021,21,change,pp1,7/30/2021,JPG,0.341322745,211,30,7,0,8/4/2021,8/5/2021
739,c,sgs,2021,19,change,pp1,7/28/2021,JPG,0.348546445,209,28,7,10,8/4/2021,8/5/2021
740,c,sgs,2021,24,change,pp1,7/28/2021,JPG,0.364780857,209,28,7,15,8/4/2021,8/5/2021
741,c,sgs,2021,21,change,pp1,8/4/2021,JPG,0.339111264,216,4,8,0,8/4/2021,8/5/2021
743,c,sgs,2021,18,change,pp1,8/4/2021,JPG,0.337897164,216,4,8,20,8/4/2021,8/5/2021
744,c,sgs,2021,19,change,pp1,7/30/2021,JPG,0.346287206,211,30,7,10,8/4/2021,8/5/2021
745,c,sgs,2021,22,change,pp1,8/17/2021,JPG,0.33908273,229,17,8,2.5,8/4/2021,8/5/2021
747,c,sgs,2021,22,change,pp1,8/4/2021,JPG,0.3408772,216,4,8,2.5,8/4/2021,8/5/2021
1056,d,sgs,2021,25,change,pp1,7/28/2021,JPG,0.337046341,209,28,7,2.5,8/3/2021,8/4/2021
1058,d,sgs,2021,25,change,pp1,8/4/2021,JPG,0.337192801,216,4,8,2.5,8/3/2021,8/4/2021
1059,d,sgs,2021,25,change,pp1,8/18/2021,JPG,0.336077926,230,18,8,2.5,8/3/2021,8/4/2021
1060,d,sgs,2021,27,change,pp1,7/30/2021,JPG,0.342894719,211,30,7,15,8/3/2021,8/4/2021
1064,d,sgs,2021,28,change,pp1,7/30/2021,JPG,0.341368453,211,30,7,7.5,8/3/2021,8/4/2021
1067,d,sgs,2021,25,change,pp1,7/30/2021,JPG,0.338569811,211,30,7,2.5,8/3/2021,8/4/2021
1069,d,sgs,2021,27,change,pp1,8/4/2021,JPG,0.342061054,216,4,8,15,8/3/2021,8/4/2021
1070,d,sgs,2021,27,change,pp1,8/18/2021,JPG,0.340066219,230,18,8,15,8/3/2021,8/4/2021
1071,d,sgs,2021,27,change,pp1,8/30/2021,JPG,0.339586254,242,30,8,15,8/3/2021,8/4/2021
1073,d,sgs,2021,27,change,pp1,7/28/2021,JPG,0.341303957,209,28,7,15,8/3/2021,8/4/2021
1074,d,sgs,2021,28,change,pp1,8/4/2021,JPG,0.340837752,216,4,8,7.5,8/3/2021,8/4/2021
1075,d,sgs,2021,28,change,pp1,8/18/2021,JPG,0.341981777,230,18,8,7.5,8/3/2021,8/4/2021
1076,d,sgs,2021,25,change,pp1,8/30/2021,JPG,0.337591232,242,30,8,2.5,8/3/2021,8/4/2021
1081,d,sgs,2021,30,change,pp1,7/28/2021,JPG,0.339743156,209,28,7,0,8/3/2021,8/4/2021
1083,d,sgs,2021,31,change,pp1,8/18/2021,JPG,0.340170026,230,18,8,10,8/3/2021,8/4/2021
1084,d,sgs,2021,31,change,pp1,8/30/2021,JPG,0.33872401,242,30,8,10,8/3/2021,8/4/2021
1089,d,sgs,2021,28,change,pp1,8/30/2021,JPG,0.341150454,242,30,8,7.5,8/3/2021,8/4/2021
1090,d,sgs,2021,28,change,pp1,7/28/2021,JPG,0.338939199,209,28,7,7.5,8/3/2021,8/4/2021
1095,d,sgs,2021,32,change,pp1,8/18/2021,JPG,0.338773863,230,18,8,20,8/3/2021,8/4/2021
1096,d,sgs,2021,32,change,pp1,7/28/2021,JPG,0.341536828,209,28,7,20,8/3/2021,8/4/2021
1100,d,sgs,2021,29,change,pp1,7/28/2021,JPG,0.340993875,209,28,7,30,8/3/2021,8/4/2021
1101,d,sgs,2021,29,change,pp1,7/30/2021,JPG,0.340545718,211,30,7,30,8/3/2021,8/4/2021
1103,d,sgs,2021,29,change,pp1,8/18/2021,JPG,0.341948414,230,18,8,30,8/3/2021,8/4/2021
1104,d,sgs,2021,29,change,pp1,8/30/2021,JPG,0.338977111,242,30,8,30,8/3/2021,8/4/2021
1105,d,sgs,2021,32,change,pp1,8/30/2021,JPG,0.33681911,242,30,8,20,8/3/2021,8/4/2021
1106,d,sgs,2021,32,change,pp1,7/30/2021,JPG,0.340604953,211,30,7,20,8/3/2021,8/4/2021
1107,d,sgs,2021,32,change,pp1,8/4/2021,JPG,0.337746133,216,4,8,20,8/3/2021,8/4/2021
1110,d,sgs,2021,26,change,pp1,7/28/2021,JPG,0.339434242,209,28,7,5,8/3/2021,8/4/2021
1111,d,sgs,2021,26,change,pp1,7/30/2021,JPG,0.341568323,211,30,7,5,8/3/2021,8/4/2021
1112,d,sgs,2021,26,change,pp1,8/4/2021,JPG,0.338384004,216,4,8,5,8/3/2021,8/4/2021
1113,d,sgs,2021,26,change,pp1,8/18/2021,JPG,0.337129822,230,18,8,5,8/3/2021,8/4/2021
1114,d,sgs,2021,26,change,pp1,8/30/2021,JPG,0.336141934,242,30,8,5,8/3/2021,8/4/2021
1115,d,sgs,2021,29,change,pp1,8/4/2021,JPG,0.340710226,216,4,8,30,8/3/2021,8/4/2021
1116,d,sgs,2021,30,change,pp1,7/30/2021,JPG,0.340994653,211,30,7,0,8/3/2021,8/4/2021
1117,d,sgs,2021,30,change,pp1,8/4/2021,JPG,0.339148765,216,4,8,0,8/3/2021,8/4/2021
1118,d,sgs,2021,30,change,pp1,8/30/2021,JPG,0.340115872,242,30,8,0,8/3/2021,8/4/2021
1121,d,sgs,2021,30,change,pp1,8/18/2021,JPG,0.34119815,230,18,8,0,8/3/2021,8/4/2021
1126,d,sgs,2021,31,change,pp1,7/28/2021,JPG,0.339211396,209,28,7,10,8/3/2021,8/4/2021
1127,d,sgs,2021,31,change,pp1,7/30/2021,JPG,0.340518103,211,30,7,10,8/3/2021,8/4/2021
1128,d,sgs,2021,31,change,pp1,8/4/2021,JPG,0.338811702,216,4,8,10,8/3/2021,8/4/2021
1428,e,sgs,2021,35,change,pp1,8/30/2021,JPG,0.339007256,242,30,8,30,8/7/2021,8/8/2021
1429,e,sgs,2021,38,change,pp1,7/28/2021,JPG,0.3440535,209,28,7,15,8/7/2021,8/8/2021
1430,e,sgs,2021,35,change,pp1,8/18/2021,JPG,0.341625859,230,18,8,30,8/7/2021,8/8/2021
1431,e,sgs,2021,35,change,pp1,7/30/2021,JPG,0.344434543,211,30,7,30,8/7/2021,8/8/2021
1434,e,sgs,2021,37,change,pp1,7/28/2021,JPG,0.340034997,209,28,7,2.5,8/7/2021,8/8/2021
1435,e,sgs,2021,38,change,pp1,7/30/2021,JPG,0.341021853,211,30,7,15,8/7/2021,8/8/2021
1436,e,sgs,2021,36,change,pp1,8/30/2021,JPG,0.339800204,242,30,8,5,8/7/2021,8/8/2021
1437,e,sgs,2021,37,change,pp1,8/18/2021,JPG,0.34250809,230,18,8,2.5,8/7/2021,8/8/2021
1438,e,sgs,2021,35,change,pp1,8/5/2021,JPG,0.341035834,217,5,8,30,8/7/2021,8/8/2021
1439,e,sgs,2021,35,change,pp1,7/28/2021,JPG,0.340173396,209,28,7,30,8/7/2021,8/8/2021
1440,e,sgs,2021,34,change,pp1,8/18/2021,JPG,0.342668246,230,18,8,20,8/7/2021,8/8/2021
1444,e,sgs,2021,37,change,pp1,7/30/2021,JPG,0.341372562,211,30,7,2.5,8/7/2021,8/8/2021
1446,e,sgs,2021,36,change,pp1,7/28/2021,JPG,0.342103367,209,28,7,5,8/7/2021,8/8/2021
1447,e,sgs,2021,37,change,pp1,8/30/2021,JPG,0.340330453,242,30,8,2.5,8/7/2021,8/8/2021
1448,e,sgs,2021,36,change,pp1,8/5/2021,JPG,0.341903071,217,5,8,5,8/7/2021,8/8/2021
1449,e,sgs,2021,36,change,pp1,8/18/2021,JPG,0.341636238,230,18,8,5,8/7/2021,8/8/2021
1451,e,sgs,2021,34,change,pp1,7/28/2021,JPG,0.3434035,209,28,7,20,8/7/2021,8/8/2021
1453,e,sgs,2021,34,change,pp1,8/5/2021,JPG,0.340351097,217,5,8,20,8/7/2021,8/8/2021
1460,e,sgs,2021,36,change,pp1,7/30/2021,JPG,0.342910493,211,30,7,5,8/7/2021,8/8/2021
1461,e,sgs,2021,39,change,pp1,7/30/2021,JPG,0.345984735,211,30,7,7.5,8/7/2021,8/8/2021
1464,e,sgs,2021,39,change,pp1,7/28/2021,JPG,0.348264001,209,28,7,7.5,8/7/2021,8/8/2021
1466,e,sgs,2021,39,change,pp1,8/5/2021,JPG,0.344847645,217,5,8,7.5,8/7/2021,8/8/2021
1467,e,sgs,2021,39,change,pp1,8/18/2021,JPG,0.35062057,230,18,8,7.5,8/7/2021,8/8/2021
1468,e,sgs,2021,39,change,pp1,8/30/2021,JPG,0.343284873,242,30,8,7.5,8/7/2021,8/8/2021
1473,e,sgs,2021,34,change,pp1,8/30/2021,JPG,0.343317619,242,30,8,20,8/7/2021,8/8/2021
1474,e,sgs,2021,40,change,pp1,7/28/2021,JPG,0.340706514,209,28,7,10,8/7/2021,8/8/2021
1475,e,sgs,2021,40,change,pp1,7/30/2021,JPG,0.343303542,211,30,7,10,8/7/2021,8/8/2021
1476,e,sgs,2021,40,change,pp1,8/5/2021,JPG,0.340539649,217,5,8,10,8/7/2021,8/8/2021
1477,e,sgs,2021,40,change,pp1,8/18/2021,JPG,0.342179651,230,18,8,10,8/7/2021,8/8/2021
1478,e,sgs,2021,40,change,pp1,8/30/2021,JPG,0.340119503,242,30,8,10,8/7/2021,8/8/2021
1479,e,sgs,2021,34,change,pp1,7/30/2021,JPG,0.343861692,211,30,7,20,8/7/2021,8/8/2021
1484,e,sgs,2021,33,change,pp1,7/28/2021,JPG,0.338743647,209,28,7,0,8/7/2021,8/8/2021
1485,e,sgs,2021,33,change,pp1,7/30/2021,JPG,0.339518242,211,30,7,0,8/7/2021,8/8/2021
1487,e,sgs,2021,37,change,pp1,8/5/2021,JPG,0.339964714,217,5,8,2.5,8/7/2021,8/8/2021
1488,e,sgs,2021,33,change,pp1,8/30/2021,JPG,0.339407661,242,30,8,0,8/7/2021,8/8/2021
1490,e,sgs,2021,33,change,pp1,8/5/2021,JPG,0.33697678,217,5,8,0,8/7/2021,8/8/2021
1491,e,sgs,2021,33,change,pp1,8/18/2021,JPG,0.339489339,230,18,8,0,8/7/2021,8/8/2021
1497,e,sgs,2021,38,change,pp1,8/5/2021,JPG,0.340494748,217,5,8,15,8/7/2021,8/8/2021
1498,e,sgs,2021,38,change,pp1,8/18/2021,JPG,0.348099616,230,18,8,15,8/7/2021,8/8/2021
1499,e,sgs,2021,38,change,pp1,8/30/2021,JPG,0.341075665,242,30,8,15,8/7/2021,8/8/2021
1817,f,sgs,2021,41,change,pp1,7/30/2021,JPG,0.342132994,211,30,7,20,8/6/2021,8/7/2021
1818,f,sgs,2021,41,change,pp1,8/18/2021,JPG,0.341545366,230,18,8,20,8/6/2021,8/7/2021
1819,f,sgs,2021,41,change,pp1,8/30/2021,JPG,0.337836538,242,30,8,20,8/6/2021,8/7/2021
1820,f,sgs,2021,48,change,pp1,7/28/2021,JPG,0.3415324,209,28,7,2.5,8/6/2021,8/7/2021
1821,f,sgs,2021,41,change,pp1,8/4/2021,JPG,0.340335558,216,4,8,20,8/6/2021,8/7/2021
1822,f,sgs,2021,48,change,pp1,8/4/2021,JPG,0.340431358,216,4,8,2.5,8/6/2021,8/7/2021
1823,f,sgs,2021,48,change,pp1,8/18/2021,JPG,0.340751166,230,18,8,2.5,8/6/2021,8/7/2021
1824,f,sgs,2021,48,change,pp1,8/30/2021,JPG,0.34050839,242,30,8,2.5,8/6/2021,8/7/2021
1828,f,sgs,2021,43,change,pp1,7/28/2021,JPG,0.341074635,209,28,7,5,8/6/2021,8/7/2021
1829,f,sgs,2021,45,change,pp1,8/4/2021,JPG,0.339858478,216,4,8,0,8/6/2021,8/7/2021
1830,f,sgs,2021,43,change,pp1,7/30/2021,JPG,0.342920598,211,30,7,5,8/6/2021,8/7/2021
1831,f,sgs,2021,46,change,pp1,8/30/2021,JPG,0.338435731,242,30,8,7.5,8/6/2021,8/7/2021
1832,f,sgs,2021,43,change,pp1,8/18/2021,JPG,0.3405697,230,18,8,5,8/6/2021,8/7/2021
1835,f,sgs,2021,41,change,pp1,7/28/2021,JPG,0.341416813,209,28,7,20,8/6/2021,8/7/2021
1837,f,sgs,2021,45,change,pp1,7/28/2021,JPG,0.339944297,209,28,7,0,8/6/2021,8/7/2021
1846,f,sgs,2021,47,change,pp1,7/28/2021,JPG,0.340579153,209,28,7,15,8/6/2021,8/7/2021
1847,f,sgs,2021,42,change,pp1,8/4/2021,JPG,0.337778261,216,4,8,30,8/6/2021,8/7/2021
1848,f,sgs,2021,42,change,pp1,8/18/2021,JPG,0.334521949,230,18,8,30,8/6/2021,8/7/2021
1849,f,sgs,2021,44,change,pp1,7/30/2021,JPG,0.342302883,211,30,7,10,8/6/2021,8/7/2021
1854,f,sgs,2021,47,change,pp1,8/18/2021,JPG,0.338892448,230,18,8,15,8/6/2021,8/7/2021
1857,f,sgs,2021,44,change,pp1,7/28/2021,JPG,0.33867893,209,28,7,10,8/6/2021,8/7/2021
1861,f,sgs,2021,44,change,pp1,8/30/2021,JPG,0.336649633,242,30,8,10,8/6/2021,8/7/2021
1862,f,sgs,2021,45,change,pp1,8/18/2021,JPG,0.339036502,230,18,8,0,8/6/2021,8/7/2021
1863,f,sgs,2021,44,change,pp1,8/4/2021,JPG,0.339634378,216,4,8,10,8/6/2021,8/7/2021
1864,f,sgs,2021,44,change,pp1,8/18/2021,JPG,0.339986173,230,18,8,10,8/6/2021,8/7/2021
1868,f,sgs,2021,45,change,pp1,7/30/2021,JPG,0.340048661,211,30,7,0,8/6/2021,8/7/2021
1869,f,sgs,2021,48,change,pp1,7/30/2021,JPG,0.342395096,211,30,7,2.5,8/6/2021,8/7/2021
1870,f,sgs,2021,43,change,pp1,8/4/2021,JPG,0.33947043,216,4,8,5,8/6/2021,8/7/2021
1872,f,sgs,2021,42,change,pp1,7/28/2021,JPG,0.339413453,209,28,7,30,8/6/2021,8/7/2021
1876,f,sgs,2021,45,change,pp1,8/30/2021,JPG,0.338178111,242,30,8,0,8/6/2021,8/7/2021
1878,f,sgs,2021,42,change,pp1,7/30/2021,JPG,0.340467312,211,30,7,30,8/6/2021,8/7/2021
1881,f,sgs,2021,47,change,pp1,8/30/2021,JPG,0.33829777,242,30,8,15,8/6/2021,8/7/2021
1886,f,sgs,2021,46,change,pp1,8/4/2021,JPG,0.340088573,216,4,8,7.5,8/6/2021,8/7/2021
1887,f,sgs,2021,47,change,pp1,7/30/2021,JPG,0.342087805,211,30,7,15,8/6/2021,8/7/2021
1888,f,sgs,2021,46,change,pp1,7/30/2021,JPG,0.341881033,211,30,7,7.5,8/6/2021,8/7/2021
1889,f,sgs,2021,46,change,pp1,7/28/2021,JPG,0.340635111,209,28,7,7.5,8/6/2021,8/7/2021
1890,f,sgs,2021,47,change,pp1,8/4/2021,JPG,0.336568823,216,4,8,15,8/6/2021,8/7/2021
1892,f,sgs,2021,46,change,pp1,8/18/2021,JPG,0.340251891,230,18,8,7.5,8/6/2021,8/7/2021
1,a,sgs,2022,1,change,n,6/27/2022,JPEG,0.335070758,178,27,6,30,6/27/2022,6/28/2022
2,a,sgs,2022,1,change,n,6/29/2022,JPEG,0.334243811,180,29,6,30,6/27/2022,6/28/2022
3,a,sgs,2022,1,change,n,7/3/2022,JPEG,0.334069635,184,3,7,30,6/27/2022,6/28/2022
4,a,sgs,2022,1,change,n,6/25/2022,JPEG,0.337114474,176,25,6,30,6/27/2022,6/28/2022
5,a,sgs,2022,1,change,n,7/20/2022,JPEG,0.334708183,201,20,7,30,6/27/2022,6/28/2022
6,a,sgs,2022,1,change,n,7/23/2022,JPEG,0.336122633,204,23,7,30,6/27/2022,6/28/2022
7,a,sgs,2022,1,change,n,7/26/2022,JPEG,0.336101689,207,26,7,30,6/27/2022,6/28/2022
8,a,sgs,2022,1,change,n,7/29/2022,JPEG,0.331598234,210,29,7,30,6/27/2022,6/28/2022
9,a,sgs,2022,1,change,n,8/12/2022,JPEG,0.33265703,224,12,8,30,6/27/2022,6/28/2022
10,a,sgs,2022,1,change,n,8/26/2022,JPEG,0.334619217,238,26,8,30,6/27/2022,6/28/2022
13,a,sgs,2022,1,change,n,7/5/2022,JPEG,0.334417845,186,5,7,30,6/27/2022,6/28/2022
14,a,sgs,2022,1,change,n,7/8/2022,JPEG,0.334384617,189,8,7,30,6/27/2022,6/28/2022
15,a,sgs,2022,1,change,n,7/11/2022,JPEG,0.336782728,192,11,7,30,6/27/2022,6/28/2022
16,a,sgs,2022,1,change,n,7/14/2022,JPEG,0.336058138,195,14,7,30,6/27/2022,6/28/2022
17,a,sgs,2022,1,change,n,7/17/2022,JPEG,0.331859998,198,17,7,30,6/27/2022,6/28/2022
39,a,sgs,2022,2,change,n,6/25/2022,JPEG,0.335483033,176,25,6,20,6/27/2022,6/28/2022
40,a,sgs,2022,2,change,n,6/27/2022,JPEG,0.334944904,178,27,6,20,6/27/2022,6/28/2022
41,a,sgs,2022,2,change,n,7/3/2022,JPEG,0.332141008,184,3,7,20,6/27/2022,6/28/2022
42,a,sgs,2022,2,change,n,7/5/2022,JPEG,0.333943796,186,5,7,20,6/27/2022,6/28/2022
43,a,sgs,2022,2,change,n,7/8/2022,JPEG,0.332161781,189,8,7,20,6/27/2022,6/28/2022
44,a,sgs,2022,2,change,n,6/29/2022,JPEG,0.332633613,180,29,6,20,6/27/2022,6/28/2022
45,a,sgs,2022,2,change,n,7/26/2022,JPEG,0.33511232,207,26,7,20,6/27/2022,6/28/2022
46,a,sgs,2022,2,change,n,7/29/2022,JPEG,0.329382434,210,29,7,20,6/27/2022,6/28/2022
47,a,sgs,2022,2,change,n,8/12/2022,JPEG,0.331377339,224,12,8,20,6/27/2022,6/28/2022
48,a,sgs,2022,2,change,n,8/26/2022,JPEG,0.334566464,238,26,8,20,6/27/2022,6/28/2022
53,a,sgs,2022,2,change,n,7/11/2022,JPEG,0.334048904,192,11,7,20,6/27/2022,6/28/2022
54,a,sgs,2022,2,change,n,7/14/2022,JPEG,0.334521028,195,14,7,20,6/27/2022,6/28/2022
55,a,sgs,2022,2,change,n,7/17/2022,JPEG,0.331361584,198,17,7,20,6/27/2022,6/28/2022
56,a,sgs,2022,2,change,n,7/20/2022,JPEG,0.331206742,201,20,7,20,6/27/2022,6/28/2022
57,a,sgs,2022,2,change,n,7/23/2022,JPEG,0.335997081,204,23,7,20,6/27/2022,6/28/2022
79,a,sgs,2022,3,change,n,6/27/2022,JPEG,0.334579137,178,27,6,10,6/27/2022,6/28/2022
80,a,sgs,2022,3,change,n,6/29/2022,JPEG,0.334124277,180,29,6,10,6/27/2022,6/28/2022
81,a,sgs,2022,3,change,n,6/25/2022,JPEG,0.335514661,176,25,6,10,6/27/2022,6/28/2022
82,a,sgs,2022,3,change,n,7/8/2022,JPEG,0.333803416,189,8,7,10,6/27/2022,6/28/2022
83,a,sgs,2022,3,change,n,7/11/2022,JPEG,0.336065062,192,11,7,10,6/27/2022,6/28/2022
84,a,sgs,2022,3,change,n,7/3/2022,JPEG,0.333661947,184,3,7,10,6/27/2022,6/28/2022
85,a,sgs,2022,3,change,n,7/5/2022,JPEG,0.334320758,186,5,7,10,6/27/2022,6/28/2022
86,a,sgs,2022,3,change,n,8/12/2022,JPEG,0.33278937,224,12,8,10,6/27/2022,6/28/2022
87,a,sgs,2022,3,change,n,8/26/2022,JPEG,0.334569808,238,26,8,10,6/27/2022,6/28/2022
93,a,sgs,2022,3,change,n,7/14/2022,JPEG,0.335658832,195,14,7,10,6/27/2022,6/28/2022
94,a,sgs,2022,3,change,n,7/17/2022,JPEG,0.332506801,198,17,7,10,6/27/2022,6/28/2022
95,a,sgs,2022,3,change,n,7/20/2022,JPEG,0.333221513,201,20,7,10,6/27/2022,6/28/2022
96,a,sgs,2022,3,change,n,7/23/2022,JPEG,0.335511171,204,23,7,10,6/27/2022,6/28/2022
97,a,sgs,2022,3,change,n,7/26/2022,JPEG,0.335828917,207,26,7,10,6/27/2022,6/28/2022
98,a,sgs,2022,3,change,n,7/29/2022,JPEG,0.330703181,210,29,7,10,6/27/2022,6/28/2022
117,a,sgs,2022,4,change,n,6/27/2022,JPEG,0.334165925,178,27,6,15,6/27/2022,6/28/2022
118,a,sgs,2022,4,change,n,6/29/2022,JPEG,0.331815814,180,29,6,15,6/27/2022,6/28/2022
119,a,sgs,2022,4,change,n,7/3/2022,JPEG,0.335030193,184,3,7,15,6/27/2022,6/28/2022
120,a,sgs,2022,4,change,n,7/5/2022,JPEG,0.334888668,186,5,7,15,6/27/2022,6/28/2022
121,a,sgs,2022,4,change,n,7/8/2022,JPEG,0.334173215,189,8,7,15,6/27/2022,6/28/2022
122,a,sgs,2022,4,change,n,7/11/2022,JPEG,0.335095547,192,11,7,15,6/27/2022,6/28/2022
123,a,sgs,2022,4,change,n,7/14/2022,JPEG,0.335611091,195,14,7,15,6/27/2022,6/28/2022
124,a,sgs,2022,4,change,n,7/17/2022,JPEG,0.332756239,198,17,7,15,6/27/2022,6/28/2022
125,a,sgs,2022,4,change,n,6/25/2022,JPEG,0.335785272,176,25,6,15,6/27/2022,6/28/2022
126,a,sgs,2022,4,change,n,8/26/2022,JPEG,0.336481233,238,26,8,15,6/27/2022,6/28/2022
134,a,sgs,2022,4,change,n,7/20/2022,JPEG,0.333635211,201,20,7,15,6/27/2022,6/28/2022
135,a,sgs,2022,4,change,n,7/23/2022,JPEG,0.335917535,204,23,7,15,6/27/2022,6/28/2022
136,a,sgs,2022,4,change,n,7/26/2022,JPEG,0.335895139,207,26,7,15,6/27/2022,6/28/2022
137,a,sgs,2022,4,change,n,7/29/2022,JPEG,0.331388405,210,29,7,15,6/27/2022,6/28/2022
138,a,sgs,2022,4,change,n,8/12/2022,JPEG,0.33262193,224,12,8,15,6/27/2022,6/28/2022
156,a,sgs,2022,5,change,n,6/27/2022,JPEG,0.33316298,178,27,6,5,6/27/2022,6/28/2022
157,a,sgs,2022,5,change,n,6/29/2022,JPEG,0.329200169,180,29,6,5,6/27/2022,6/28/2022
158,a,sgs,2022,5,change,n,7/3/2022,JPEG,0.333408906,184,3,7,5,6/27/2022,6/28/2022
159,a,sgs,2022,5,change,n,7/5/2022,JPEG,0.333278038,186,5,7,5,6/27/2022,6/28/2022
160,a,sgs,2022,5,change,n,7/8/2022,JPEG,0.332733617,189,8,7,5,6/27/2022,6/28/2022
161,a,sgs,2022,5,change,n,7/11/2022,JPEG,0.33539618,192,11,7,5,6/27/2022,6/28/2022
162,a,sgs,2022,5,change,n,7/14/2022,JPEG,0.333921513,195,14,7,5,6/27/2022,6/28/2022
163,a,sgs,2022,5,change,n,7/17/2022,JPEG,0.33513689,198,17,7,5,6/27/2022,6/28/2022
164,a,sgs,2022,5,change,n,7/20/2022,JPEG,0.331310453,201,20,7,5,6/27/2022,6/28/2022
165,a,sgs,2022,5,change,n,8/26/2022,JPEG,0.334975939,238,26,8,5,6/27/2022,6/28/2022
174,a,sgs,2022,5,change,n,7/23/2022,JPEG,0.333665734,204,23,7,5,6/27/2022,6/28/2022
175,a,sgs,2022,5,change,n,7/26/2022,JPEG,0.333967511,207,26,7,5,6/27/2022,6/28/2022
176,a,sgs,2022,5,change,n,7/29/2022,JPEG,0.330360556,210,29,7,5,6/27/2022,6/28/2022
177,a,sgs,2022,5,change,n,8/12/2022,JPEG,0.328685306,224,12,8,5,6/27/2022,6/28/2022
191,a,sgs,2022,5,change,n,6/25/2022,JPEG,0.331837118,176,25,6,5,6/27/2022,6/28/2022
196,a,sgs,2022,6,change,n,7/3/2022,JPEG,0.336646625,184,3,7,0,6/27/2022,6/28/2022
197,a,sgs,2022,6,change,n,7/5/2022,JPEG,0.335180209,186,5,7,0,6/27/2022,6/28/2022
198,a,sgs,2022,6,change,n,7/8/2022,JPEG,0.335433049,189,8,7,0,6/27/2022,6/28/2022
199,a,sgs,2022,6,change,n,7/11/2022,JPEG,0.336265863,192,11,7,0,6/27/2022,6/28/2022
200,a,sgs,2022,6,change,n,7/14/2022,JPEG,0.336802516,195,14,7,0,6/27/2022,6/28/2022
201,a,sgs,2022,6,change,n,7/17/2022,JPEG,0.335123208,198,17,7,0,6/27/2022,6/28/2022
202,a,sgs,2022,6,change,n,7/20/2022,JPEG,0.33454119,201,20,7,0,6/27/2022,6/28/2022
203,a,sgs,2022,6,change,n,7/23/2022,JPEG,0.33549902,204,23,7,0,6/27/2022,6/28/2022
204,a,sgs,2022,6,change,n,7/26/2022,JPEG,0.335616375,207,26,7,0,6/27/2022,6/28/2022
214,a,sgs,2022,6,change,n,7/29/2022,JPEG,0.333822869,210,29,7,0,6/27/2022,6/28/2022
215,a,sgs,2022,6,change,n,8/12/2022,JPEG,0.334394923,224,12,8,0,6/27/2022,6/28/2022
216,a,sgs,2022,6,change,n,8/26/2022,JPEG,0.338610245,238,26,8,0,6/27/2022,6/28/2022
231,a,sgs,2022,6,change,n,6/25/2022,JPEG,0.335017382,176,25,6,0,6/27/2022,6/28/2022
232,a,sgs,2022,6,change,n,6/27/2022,JPEG,0.336205166,178,27,6,0,6/27/2022,6/28/2022
233,a,sgs,2022,6,change,n,6/29/2022,JPEG,0.333090225,180,29,6,0,6/27/2022,6/28/2022
234,a,sgs,2022,7,change,n,7/8/2022,JPEG,0.333473758,189,8,7,7.5,6/27/2022,6/28/2022
235,a,sgs,2022,7,change,n,7/11/2022,JPEG,0.336822988,192,11,7,7.5,6/27/2022,6/28/2022
236,a,sgs,2022,7,change,n,7/14/2022,JPEG,0.336313699,195,14,7,7.5,6/27/2022,6/28/2022
